       support                                           itemsets  length
5791  0.002329           (E, A319, American Airlines, False, Fri)       5
6085  0.002329          (D, KSTL, False, E75S, Republic Airlines)       5
5848  0.002329           (D, A321, American Airlines, Mon, False)       5
5847  0.002329          (KLAX, D, A321, American Airlines, False)       5
6082  0.002329            (Thu, D, False, E75L, SkyWest Airlines)       5
5843  0.002329             (Sun, E, False, A320, Spirit Airlines)       5
5842  0.002329             (E, False, A320, Sat, Spirit Airlines)       5
5853  0.002329          (A321, E, American Airlines, False, KMCO)       5
6100  0.002587          (KLAX, E, False, Southwest Airlines, Sat)       5
5887  0.002587          (D, KORD, American Airlines, False, B738)       5
6025  0.002587               (D, PSA Airlines, CRJ2, False, KJAN)       5
5963  0.002587            (E, KSJC, False, B738, United Airlines)       5
6004  0.002587                 (Horizon Air, False, DH8D, C, Fri)       5
6103  0.002587             (Thu, E, KORD, False, United Airlines)       5
5863  0.002587                 (E, LYBE, False, A332, Air Serbia)       5
5884  0.002587          (D, American Airlines, KBOS, False, B738)       5
6031  0.002587            (D, Mon, False, SkyWest Airlines, CRJ7)       5
6041  0.002587                     (E, unkown, KRDU, False, CRJ9)       5
5937  0.002587          (Sun, E, False, Southwest Airlines, B737)       5
5812  0.002587             (D, Mon, False, A320, Spirit Airlines)       5
6097  0.002587          (E, KBWI, False, Southwest Airlines, Sat)       5
5888  0.002587          (D, American Airlines, False, KPHL, B738)       5
6040  0.002587                     (E, unkown, False, CRJ9, KCLT)       5
5942  0.002587       (KBWI, False, Southwest Airlines, Sat, B737)       5
6039  0.002587               (D, PSA Airlines, False, KMKE, CRJ9)       5
6079  0.002587            (D, Mon, False, E75L, SkyWest Airlines)       5
6000  0.002587           (CRJ2, False, KCOS, SkyWest Airlines, C)       5
5809  0.002587            (D, KBOS, False, A320, Spirit Airlines)       5
5796  0.002587           (Thu, E, American Airlines, False, A319)       5
5881  0.002587      (E, False, KSFO, Alaska Airlines, Inc., B738)       5
5957  0.002587             (E, Delta Air Lines, False, Sat, B738)       5
5950  0.002587       (False, Southwest Airlines, Sat, KSAN, B737)       5
