,aircrafttype,filed_airspeed_kts,filed_altitude,origin,destination,filed_departuretime_hr,estimatedarrivaltime_hr,airline,dep_delay_min,diff_flt,aircraft_manuf,cloud_altitude,temp,dewpoint,visibility,wind_speed,gust_speed,delay
10478,2,450,360,8,41,19,21,0,2.5166666666666666,-1.4166666666666572,1,26000.0,24.0,24.0,10.0,7.0,0.0,0
10479,2,451,340,8,41,19,21,0,23.83333333333333,-5.349999999999994,1,25000.0,22.0,22.0,10.0,4.0,0.0,0
10491,21,464,370,8,50,18,4,0,138.2,-10.199999999999989,1,99999.0,20.0,20.0,10.0,3.0,0.0,0
10503,20,465,390,8,85,19,2,0,3.433333333333333,-0.4333333333333371,1,25000.0,22.0,22.0,10.0,4.0,0.0,0
10515,1,403,260,8,7,18,19,0,4.583333333333333,-13.666666666666664,1,26000.0,26.0,26.0,10.0,6.0,0.0,0
10516,1,412,260,8,7,18,19,0,2.0,-14.166666666666664,1,25000.0,23.0,23.0,10.0,8.0,0.0,0
10528,9,285,80,8,74,19,19,16,-4.0,-22.0,2,26000.0,24.0,24.0,10.0,7.0,0.0,0
10529,9,284,80,8,74,19,19,16,-7.0,-25.0,2,25000.0,22.0,22.0,10.0,4.0,0.0,0
10540,4,378,230,8,2,19,20,0,23.066666666666666,8.93333333333333,1,26000.0,23.0,23.0,10.0,6.0,0.0,0
10541,2,436,230,8,2,19,20,0,17.0,-66.0,1,25000.0,22.0,22.0,10.0,4.0,0.0,0
10552,21,472,370,8,24,19,3,0,71.08333333333333,-0.08333333333331439,1,25000.0,19.0,19.0,10.0,3.0,0.0,0
10564,9,457,270,8,40,19,20,16,1.1166666666666667,0.8499999999999943,2,26000.0,24.0,24.0,10.0,7.0,0.0,0
10565,9,458,270,8,40,19,20,16,14.766666666666667,2.1500000000000057,2,25000.0,22.0,22.0,10.0,4.0,0.0,0
10574,9,457,270,8,40,19,20,16,1.1166666666666667,0.8499999999999943,2,26000.0,24.0,24.0,10.0,7.0,0.0,0
10575,9,458,270,8,40,19,20,16,14.766666666666667,2.1500000000000057,2,25000.0,22.0,22.0,10.0,4.0,0.0,0
10596,9,455,240,8,44,19,20,16,5.066666666666666,2.93333333333333,2,26000.0,24.0,24.0,10.0,7.0,0.0,0
10597,9,452,240,8,44,19,20,16,2.433333333333333,3.633333333333333,2,25000.0,22.0,22.0,10.0,4.0,0.0,0
10607,1,450,340,8,17,13,22,33,341.0833333333333,-3.5333333333333314,1,26000.0,24.0,24.0,10.0,7.0,0.0,0
10615,10,433,320,8,77,18,20,8,9.0,-4.783333333333331,2,26000.0,26.0,26.0,10.0,6.0,0.0,0
10616,10,436,340,8,77,18,20,8,12.516666666666667,-20.91666666666667,2,25000.0,23.0,23.0,10.0,8.0,0.0,0
10630,10,467,320,15,6,20,22,13,82.08333333333333,-0.0833333333333357,2,11000.0,23.0,23.0,10.0,0.0,0.0,0
10631,10,470,310,19,16,18,19,13,-7.633333333333334,-17.366666666666667,2,20000.0,28.0,28.0,10.0,14.0,0.0,0
10632,10,458,340,15,3,18,21,13,12.183333333333335,-24.18333333333333,2,16000.0,33.0,33.0,5.0,17.0,0.0,0
10633,10,456,350,10,16,14,17,13,17.0,-144.0,2,9500.0,16.0,16.0,10.0,5.0,0.0,0
10641,2,456,350,15,1,18,21,0,13.55,-9.966666666666667,1,7500.0,25.0,25.0,10.0,6.0,0.0,0
10642,2,459,350,15,1,18,22,0,25.25,12.833333333333346,1,16000.0,32.0,32.0,6.0,14.0,0.0,0
10661,4,456,340,15,94,19,21,0,6.216666666666668,-86.0,1,10000.0,26.0,26.0,10.0,6.0,0.0,0
10663,4,454,340,15,94,19,21,0,-2.6666666666666665,1.4666666666666686,1,15000.0,31.0,31.0,10.0,14.0,0.0,0
10672,4,448,300,15,31,19,21,0,-6.516666666666668,2.63333333333334,1,7500.0,26.0,26.0,10.0,6.0,0.0,0
10674,4,475,300,15,31,19,21,0,-6.433333333333334,-4.38333333333334,1,16000.0,32.0,32.0,6.0,14.0,0.0,0
10684,6,471,280,15,36,19,20,3,2.0,-0.81666666666667,3,10000.0,26.0,26.0,10.0,6.0,0.0,0
10686,6,470,280,15,36,19,20,3,5.0,4.0,3,15000.0,31.0,31.0,10.0,14.0,0.0,0
10696,39,230,170,15,112,6,7,15,50.83333333333334,-0.8333333333333357,4,9500.0,22.0,22.0,10.0,4.0,0.0,0
10709,4,456,350,15,49,21,0,0,4.0,-173.0,1,13000.0,26.0,26.0,10.0,11.0,22.0,0
10726,29,460,290,15,25,19,21,1,-4.483333333333333,-137.0,6,7500.0,26.0,26.0,10.0,6.0,0.0,0
10727,29,461,280,16,16,15,18,1,1.0,3.25,6,900.0,9.0,9.0,10.0,8.0,18.0,0
10728,7,473,330,15,25,19,21,1,-3.4,1.5666666666666629,0,16000.0,32.0,32.0,6.0,14.0,0.0,0
10729,7,472,320,16,16,15,18,1,-4.6,1.6999999999999886,0,2400.0,11.0,11.0,10.0,3.0,0.0,0
10737,4,447,390,15,122,22,0,0,17.0,6.38333333333334,1,13000.0,26.0,26.0,10.0,11.0,22.0,0
10756,0,451,370,23,21,20,21,1,2.0,3.0,0,7500.0,21.0,21.0,10.0,9.0,0.0,0
10758,41,451,370,23,21,19,22,1,50.63333333333333,-5.150000000000006,4,6000.0,20.0,20.0,10.0,6.0,0.0,0
10769,17,330,250,23,127,19,21,11,2.0,0.0,5,6500.0,22.0,22.0,10.0,5.0,0.0,0
10794,3,439,370,23,61,19,20,3,-6.583333333333332,9.583333333333329,2,6500.0,22.0,22.0,10.0,5.0,0.0,0
10795,3,436,370,23,61,19,20,3,-0.4666666666666667,3.9833333333333343,2,7500.0,21.0,21.0,10.0,8.0,0.0,0
10822,17,344,140,23,3,18,18,11,6.333333333333332,10.383333333333333,5,7000.0,23.0,23.0,10.0,9.0,0.0,0
10823,17,344,140,23,3,18,18,11,4.666666666666667,-17.0,5,9500.0,21.0,21.0,10.0,11.0,0.0,0
10853,17,331,250,23,62,18,20,11,2.0,0.0,5,6500.0,22.0,22.0,10.0,5.0,0.0,0
10854,17,334,250,23,62,18,20,11,5.816666666666666,0.4500000000000029,5,7500.0,21.0,21.0,10.0,8.0,0.0,0
10871,17,346,150,23,86,18,19,11,1.0666666666666669,2.216666666666665,5,7000.0,23.0,23.0,10.0,9.0,0.0,0
10872,17,346,150,23,86,18,19,11,0.0,0.6000000000000014,5,9500.0,21.0,21.0,10.0,11.0,0.0,0
10884,8,456,370,24,13,19,23,14,1.0,-7.0,0,20000.0,24.0,24.0,10.0,11.0,0.0,0
10894,0,460,370,24,21,19,21,1,3.466666666666667,-3.7833333333333314,0,11000.0,28.0,28.0,10.0,10.0,0.0,0
10896,0,460,370,24,21,19,21,1,2.1666666666666665,1.6500000000000057,0,20000.0,23.0,23.0,10.0,7.0,0.0,0
10905,3,437,360,24,33,19,21,3,-2.05,-1.75,2,11000.0,28.0,28.0,10.0,10.0,0.0,0
10906,3,429,340,24,33,19,21,3,0.4,-5.033333333333331,2,20000.0,24.0,24.0,10.0,11.0,0.0,0
10921,38,372,240,17,30,17,18,34,35.93333333333333,-3.883333333333333,2,14000.0,35.0,35.0,10.0,13.0,18.0,0
10937,30,471,370,24,102,18,4,27,8.266666666666667,-7.2666666666666515,1,20000.0,24.0,24.0,10.0,8.0,0.0,0
10946,3,414,320,24,31,19,20,3,6.6,0.3999999999999986,2,11000.0,28.0,28.0,10.0,10.0,0.0,0
10947,3,429,340,24,31,19,20,3,29.716666666666665,1.0499999999999972,2,20000.0,23.0,23.0,10.0,7.0,0.0,0
