,aircrafttype,filed_airspeed_kts,filed_altitude,origin,destination,filed_departuretime_week,filed_departuretime_hr,estimatedarrivaltime_hr,airline,dep_delay_min,diff_flt,aircraft_manuf,delay
67,2.0,455,380,4,115,1,19,21,3,5.0,-10.61666666666666,0,0
68,2.0,455,380,4,115,0,19,21,3,-1.0,4.083333333333329,0,0
69,4.0,450,380,4,6,4,19,21,7,7.066666666666666,-6.099999999999994,1,0
70,4.0,450,360,4,6,1,19,21,7,4.05,-8.450000000000003,1,0
71,4.0,450,360,4,6,0,19,21,7,-3.15,-1.1666666666666714,1,0
72,4.0,450,360,4,6,3,19,21,7,0.05,-10.083333333333329,1,0
73,4.0,450,360,4,6,2,19,21,7,3.1,-12.36666666666666,1,0
74,4.0,450,380,4,6,5,20,0,7,124.0,-17.61666666666666,1,0
75,4.0,450,380,4,6,6,20,22,7,29.7,-11.816666666666665,1,0
76,4.0,450,360,4,6,4,19,21,7,11.9,-11.666666666666671,1,0
77,4.0,450,360,4,6,1,19,21,7,17.016666666666666,-9.849999999999994,1,0
78,4.0,460,360,4,6,0,19,21,7,3.0166666666666666,-5.86666666666666,1,0
79,4.0,450,380,4,6,3,19,20,7,-2.316666666666667,-12.566666666666665,1,0
80,4.0,450,340,4,6,2,19,21,7,0.31666666666666665,-2.5999999999999943,1,0
81,4.0,460,360,4,6,5,20,21,7,-7.133333333333334,-8.650000000000006,1,0
82,1.0,459,360,4,27,1,19,21,3,7.083333333333332,-5.416666666666656,0,0
83,2.0,450,400,4,27,0,19,21,3,0.0,5.550000000000012,0,0
84,1.0,461,360,4,27,1,19,22,3,41.5,-0.44999999999998863,0,0
85,2.0,455,380,4,27,0,19,21,3,3.0,3.0,0,0
86,2.0,454,380,4,37,0,19,21,3,7.0,-3.2833333333333314,0,0
87,2.0,457,380,4,37,0,19,21,3,8.0,8.0,0,1
88,2.0,458,360,4,5,0,19,20,3,1.8333333333333333,-8.899999999999997,0,0
89,2.0,457,380,4,5,0,19,20,3,0.85,-9.833333333333336,0,0
90,0.0,430,296,4,2,1,19,20,7,1.0,-3.0,1,0
91,0.0,447,330,30,23,1,14,17,7,3.6666666666666665,0.21666666666666856,1,0
92,0.0,420,310,4,2,0,19,20,7,-0.25,1.9333333333333305,1,0
93,0.0,447,370,30,23,0,14,17,7,1.7,-2.1166666666666742,1,0
94,0.0,430,310,4,2,2,19,21,7,54.75,-9.450000000000003,1,0
