,ident,aircrafttype,filed_ete,filed_time,filed_departuretime,filed_airspeed_kts,filed_airspeed_mach,filed_altitude,route,actualdeparturetime,estimatedarrivaltime,actualarrivaltime,diverted,origin,destination,originName,originCity,destinationName,destinationCity
NKS768,NKS768,A320,01:40:00,1538717168,1538916540,311,,0,,0,1538922540,0,,KATL,KDTW,Hartsfield-Jackson Intl,"Atlanta, GA",Detroit Metro Wayne Co,"Detroit, MI"
NKS768,NKS768,A320,01:11:00,1538717168,1538907900,298,,0,,0,1538912160,0,,KMCO,KATL,Orlando Intl,"Orlando, FL",Hartsfield-Jackson Intl,"Atlanta, GA"
NKS768,NKS768,A320,01:40:00,1538630802,1538830140,457,,350,PADGT2 SMTTH Q67 DARYN SUBWY HTROD1,0,1538836140,0,,KATL,KDTW,Hartsfield-Jackson Intl,"Atlanta, GA",Detroit Metro Wayne Co,"Detroit, MI"
NKS768,NKS768,A320,01:11:00,1538630802,1538821500,450,,360,JAG6 MATEO YULEE CHESN LAIRI LARZZ SITTH2,0,1538825760,0,,KMCO,KATL,Orlando Intl,"Orlando, FL",Hartsfield-Jackson Intl,"Atlanta, GA"
NKS768,NKS768,A320,01:34:00,1538744627,1538743740,450,,350,PADGT2 SMTTH Q67 DARYN SUBWY,1538744184,1538749260,1538749260,,KATL,KDTW,Hartsfield-Jackson Intl,"Atlanta, GA",Detroit Metro Wayne Co,"Detroit, MI"
NKS768,NKS768,A320,00:58:00,1538735548,1538735100,470,,330,ORL351009 LAIRI LARZZ JJEDI2,1538735105,1538738629,1538738629,,KMCO,KATL,Orlando Intl,"Orlando, FL",Hartsfield-Jackson Intl,"Atlanta, GA"
NKS768,NKS768,A320,01:33:00,1538659328,1538657340,460,,350,VXV226010 JONEN Q67 DARYN SUBWY HTROD1,1538657940,1538662958,1538662958,,KATL,KDTW,Hartsfield-Jackson Intl,"Atlanta, GA",Detroit Metro Wayne Co,"Detroit, MI"
NKS768,NKS768,A320,00:59:00,1538649609,1538648700,460,,340,ORL018004 CHESN LAIRI LARZZ JJEDI2,1538648732,1538652155,1538652155,,KMCO,KATL,Orlando Intl,"Orlando, FL",Hartsfield-Jackson Intl,"Atlanta, GA"
NKS768,NKS768,A320,01:29:00,1538399704,1538398140,460,,350,PADGT2 SMTTH Q67 DARYN SUBWY CRAKN1,1538398612,1538403812,1538403812,,KATL,KDTW,Hartsfield-Jackson Intl,"Atlanta, GA",Detroit Metro Wayne Co,"Detroit, MI"
NKS768,NKS768,A320,01:10:00,1538390613,1538389500,450,,360,OCF068024 LAIRI LARZZ SITTH2,1538389567,1538393416,1538393416,,KMCO,KATL,Orlando Intl,"Orlando, FL",Hartsfield-Jackson Intl,"Atlanta, GA"
NKS768,NKS768,A320,01:30:00,1538312510,1538311740,450,,350,NELLO180011 CEMEX Q67 DARYN SUBWY CRAKN1,1538311385,1538316414,1538316414,,KATL,KDTW,Hartsfield-Jackson Intl,"Atlanta, GA",Detroit Metro Wayne Co,"Detroit, MI"
NKS768,NKS768,A320,01:06:00,1538304283,1538303100,450,,360,ORL347014 LAIRI LARZZ SITTH2,1538303223,1538307277,1538307277,,KMCO,KATL,Orlando Intl,"Orlando, FL",Hartsfield-Jackson Intl,"Atlanta, GA"
NKS768,NKS768,A320,01:28:00,1538226314,1538225340,450,,350,PADGT2 SMTTH Q67 DARYN SUBWY HTROD1,1538225308,1538230424,1538230424,,KATL,KDTW,Hartsfield-Jackson Intl,"Atlanta, GA",Detroit Metro Wayne Co,"Detroit, MI"
NKS768,NKS768,A320,01:07:00,1538025961,1538216700,430,,300,JAG6 MATEO YULEE CHESN LAIRI LARZZ JJEDI2,1538216640,1538220441,1538220441,,KMCO,KATL,Orlando Intl,"Orlando, FL",Hartsfield-Jackson Intl,"Atlanta, GA"
NKS768,NKS768,A320,01:27:00,1537939565,1538138940,460,,350,PADGT2 SMTTH Q67 DARYN SUBWY HTROD1,1538139574,1538144520,1538144537,,KATL,KDTW,Hartsfield-Jackson Intl,"Atlanta, GA",Detroit Metro Wayne Co,"Detroit, MI"
SWA1384,SWA1384,B737,01:45:00,1538544389,1538743500,453,,390,PLMMR2 SPA Q22 KIDDO Q22 BEARI FAK PAATS3,1538743800,1538749708,1538743800,,KATL,KPHL,Hartsfield-Jackson Intl,"Atlanta, GA",Philadelphia Intl,"Philadelphia, PA"
SWA1384,SWA1384,B737,01:06:00,1538544389,1538736000,458,,330,GCV PAYTN SHYRE HOBTT2,1538735700,1538739601,1538739601,,KMSY,KATL,New Orleans Intl,"New Orleans, LA",Hartsfield-Jackson Intl,"Atlanta, GA"
SWA1384,SWA1384,B737,01:34:00,1538457949,1538657100,460,,350,PLMMR2 SPA Q22 BEARI FAK PAATS3,1538657940,1538664164,1538664164,,KATL,KPHL,Hartsfield-Jackson Intl,"Atlanta, GA",Philadelphia Intl,"Philadelphia, PA"
SWA1384,SWA1384,B737,01:05:00,1538457949,1538649600,460,,330,GCV PAYTN SHYRE HOBTT2,1538649720,1538653804,1538653804,,KMSY,KATL,New Orleans Intl,"New Orleans, LA",Hartsfield-Jackson Intl,"Atlanta, GA"
SWA126,SWA126,B737,03:23:00,1538790223,1538788200,456,,380,MCI306012 PWE SNY DDY BOY DBS J82 DNJ JKNOX HHOOD4,1538789828,1538802300,0,,KMCI,KPDX,Kansas City Intl,"Kansas City, MO",Portland Intl,"Portland, OR"
