,ident,aircrafttype,filed_ete,filed_time,filed_departuretime,filed_airspeed_kts,filed_airspeed_mach,filed_altitude,route,actualdeparturetime,estimatedarrivaltime,actualarrivaltime,diverted,origin,destination,originName,originCity,destinationName,destinationCity
JBU1326,JBU1326,E190,01:04:00,1537680363,1537920300,410,,270,PALEO3 SIE RIFLE OOSHN5,1537923600,1537928231,1537928231,,KBWI,KBOS,Baltimore/Washington Intl,"Baltimore, MD",Boston Logan Intl,"Boston, MA"
JBU1326,JBU1326,E190,00:58:00,1537593962,1537833900,410,,270,SWANN3 OOD J42 RBV J222 JFK ROBUC3,1537834020,1537837500,1537837500,,KBWI,KBOS,Baltimore/Washington Intl,"Baltimore, MD",Boston Logan Intl,"Boston, MA"
JBU1326,JBU1326,E190,01:04:00,1537507555,1537747500,410,,270,SWANN3 OOD J42 RBV J222 JFK ROBUC3,1537748967,1537752803,1537752803,,KBWI,KBOS,Baltimore/Washington Intl,"Baltimore, MD",Boston Logan Intl,"Boston, MA"
JBU1326,JBU1326,E190,01:24:00,1537421154,1537661100,400,,270,SWANN3 OOD J42 RBV J222 JFK ROBUC3,1537662209,1537665420,1537665420,,KBWI,KBOS,Baltimore/Washington Intl,"Baltimore, MD",Boston Logan Intl,"Boston, MA"
JBU1326,JBU1326,E190,01:30:00,1537334760,1537574700,410,,270,SWANN3 OOD J42 RBV J222 JFK ROBUC3,1537576669,1537580287,1537580287,,KBWI,KBOS,Baltimore/Washington Intl,"Baltimore, MD",Boston Logan Intl,"Boston, MA"
JBU1326,JBU1326,E190,01:09:00,1537248372,1537488300,420,,270,SWANN3 OOD J42 RBV J222 JFK ROBUC3,1537491178,1537494482,1537494482,,KBWI,KBOS,Baltimore/Washington Intl,"Baltimore, MD",Boston Logan Intl,"Boston, MA"
ASQ4016,ASQ4016,E135,01:02:00,1538371576,1538611740,140,,0,,0,1538615520,0,,KBWI,KEWR,Baltimore/Washington Intl,"Baltimore, MD",Newark Liberty Intl,"Newark, NJ"
ASQ4016,ASQ4016,E145,00:35:00,1538285166,1538525340,358,,190,SWANN3 DQO PHLBO3,0,1538527418,0,,KBWI,KEWR,Baltimore/Washington Intl,"Baltimore, MD",Newark Liberty Intl,"Newark, NJ"
ASQ4016,ASQ4016,E145,00:37:00,1538198757,1538438940,362,,190,SWANN3 DQO PHLBO3,1538442120,1538444760,0,,KBWI,KEWR,Baltimore/Washington Intl,"Baltimore, MD",Newark Liberty Intl,"Newark, NJ"
ASQ4016,ASQ4016,E145,00:37:00,1538025965,1538266140,354,,190,SWANN3 DQO PHLBO3,1538265120,1538267152,1538267152,,KBWI,KEWR,Baltimore/Washington Intl,"Baltimore, MD",Newark Liberty Intl,"Newark, NJ"
ASQ4016,ASQ4016,E145,00:42:00,1537939569,1538179740,356,,190,SWANN3 DQO PHLBO3,1538181780,1538183760,1538183760,,KBWI,KEWR,Baltimore/Washington Intl,"Baltimore, MD",Newark Liberty Intl,"Newark, NJ"
ASQ4016,ASQ4016,E145,00:42:00,1537853157,1538093340,349,,190,SWANN3 DQO PHLBO3,1538094307,1538097307,1538097307,,KBWI,KEWR,Baltimore/Washington Intl,"Baltimore, MD",Newark Liberty Intl,"Newark, NJ"
ASQ4016,ASQ4016,E145,01:02:00,1537766757,1538006940,363,,190,SWANN3 DQO PHLBO3,-1,-1,-1,,KBWI,KEWR,Baltimore/Washington Intl,"Baltimore, MD",Newark Liberty Intl,"Newark, NJ"
ASQ4016,ASQ4016,E145,01:02:00,1537680375,1537920540,362,,170,SWANN3 DQO PHLBO3,-1,-1,-1,,KBWI,KEWR,Baltimore/Washington Intl,"Baltimore, MD",Newark Liberty Intl,"Newark, NJ"
ASQ4016,ASQ4016,E145,00:38:00,1537593973,1537834140,358,,190,SWANN3 DQO PHLBO3,1537833840,1537836034,1537836034,,KBWI,KEWR,Baltimore/Washington Intl,"Baltimore, MD",Newark Liberty Intl,"Newark, NJ"
ASQ4016,ASQ4016,E145,00:37:00,1537421170,1537661340,347,,190,SWANN3 DQO PHLBO3,1537661340,1537663500,1537663500,,KBWI,KEWR,Baltimore/Washington Intl,"Baltimore, MD",Newark Liberty Intl,"Newark, NJ"
ASQ4016,ASQ4016,E45X,00:42:00,1537334780,1537574940,363,,210,SWANN3 DQO PHLBO3,1537578032,1537581000,1537581000,,KBWI,KEWR,Baltimore/Washington Intl,"Baltimore, MD",Newark Liberty Intl,"Newark, NJ"
ASQ4016,ASQ4016,E145,00:44:00,1537248391,1537488540,367,,170,SWANN3 DQO PHLBO3,1537489844,1537492800,1537492800,,KBWI,KEWR,Baltimore/Washington Intl,"Baltimore, MD",Newark Liberty Intl,"Newark, NJ"
ASQ4016,ASQ4016,E145,,1537411373,1537411373,0,,0,SWANN3 DQO PHLBO3,1537411373,1537413540,1537413540,,KBWI,KEWR,Baltimore/Washington Intl,"Baltimore, MD",Newark Liberty Intl,"Newark, NJ"
EJA904,EJA904,CL30,03:00:00,1538424342,1538510760,476,,0,,0,1538521560,0,,KCOS,KHPN,Colorado Sprgs Muni,"Colorado Springs, CO",Westchester County,"White Plains, NY"
EJA904,EJA904,C750,01:48:00,1538411845,1538490960,389,,0,,0,1538506440,0,,KSJC,KCOS,San Jose Int'l,"San Jose, CA",Colorado Sprgs Muni,"Colorado Springs, CO"
EJA904,EJA904,C750,00:18:00,1538375740,1538462160,334,,0,,0,1538463240,0,,KAPC,KMRY,Napa County,"Napa, CA",Monterey Rgnl,"Monterey, CA"
EJA904,EJA904,C750,00:12:00,1538370040,1538456220,270,,0,,0,1538456040,0,,KSJC,KAPC,San Jose Int'l,"San Jose, CA",Napa County,"Napa, CA"
EJA904,EJA904,C750,00:47:00,1538276740,1538363160,468,,240,HHERO3 IKAYE TESEA SCTRR TROXX SILCN4,1538362939,1538366720,1538366280,,KSNA,KSJC,John Wayne,"Santa Ana, CA",San Jose Int'l,"San Jose, CA"
EJA904,EJA904,C750,00:42:00,1538286909,1538354160,473,,250,TECKY3 EBAYE BURGL FLW GOONA OHSEA1,1538354400,1538358389,1538358389,,KSJC,KSNA,San Jose Int'l,"San Jose, CA",John Wayne,"Santa Ana, CA"
EJA904,EJA904,C750,01:36:00,1538252441,1538338680,392,,0,,-1,-1,-1,,KASE,KSNA,Aspen-Pitkin County,"Aspen, CO",John Wayne,"Santa Ana, CA"
EJA904,EJA904,C750,04:30:00,1538251544,1538337960,498,,0,,-1,-1,-1,,KSTS,KLGA,Schulz-Sonoma County,"Santa Rosa, CA",LaGuardia,"New York, NY"
EJA904,EJA904,C750,00:12:00,1538244344,1538330520,270,,0,,-1,-1,-1,,KSJC,KMRY,San Jose Int'l,"San Jose, CA",Monterey Rgnl,"Monterey, CA"
EJA904,EJA904,,00:22:00,1538263195,1538330160,219,,0,,-1,-1,-1,,KSJC,KSTS,San Jose Int'l,"San Jose, CA",Schulz-Sonoma County,"Santa Rosa, CA"
EJA904,EJA904,,03:56:00,1538250268,1538323200,384,,0,,-1,-1,-1,,KPOU,KASE,Hudson Valley Rgnl,"Poughkeepsie, NY",Aspen-Pitkin County,"Aspen, CO"
EJA904,EJA904,,00:21:00,1538258648,1538316900,210,,0,,-1,-1,-1,,KFOK,KPOU,Francis S Gabreski,"Westhampton Beach, NY",Hudson Valley Rgnl,"Poughkeepsie, NY"
EJA904,EJA904,C750,05:32:00,1538197362,1538262000,453,,430,TERPZ6 RAMAY Q72 HACKS J149 EMPTY J80 MCI J24 HGO HBU J28 MLF J80 ILC KNGRY RAZRR4,1538264720,1538283969,1538283939,,KBWI,KSJC,Baltimore/Washington Intl,"Baltimore, MD",San Jose Int'l,"San Jose, CA"
EJA904,EJA904,C750,00:42:00,1538213813,1538253000,451,,200,BEADS V139 SARDI RBV J230 COPES J75 MXE V378 NUGGY TRISH3,1538258460,1538261245,1538261245,,KFOK,KBWI,Francis S Gabreski,"Westhampton Beach, NY",Baltimore/Washington Intl,"Baltimore, MD"
EJA904,EJA904,C750,00:22:00,1538228843,1538235000,255,,60,PVD V475 ORW V16 CCC,1538233787,1538235199,1538235240,,KPVD,KFOK,Green State,"Providence, RI",Francis S Gabreski,"Westhampton Beach, NY"
SWA3373,SWA3373,B737,00:56:00,1538025966,1538264400,422,,220,CONLE3 COLIN V213 HPW KAROO2,1538264662,1538267413,1538267413,,KBWI,KRDU,Baltimore/Washington Intl,"Baltimore, MD",Raleigh-Durham Intl,"Raleigh/Durham, NC"
SWA3373,SWA3373,B737,01:29:00,1538025966,1538255100,446,,410,JACCC2 KELLN Q58 PEETT THHMP RAVNN6,1538255594,1538260374,1538260374,,KATL,KBWI,Hartsfield-Jackson Intl,"Atlanta, GA",Baltimore/Washington Intl,"Baltimore, MD"
SWA3373,SWA3373,B737,00:47:00,1537421172,1537659600,429,,220,CONLE3 COLIN V213 HPW KAROO2,1537659360,1537662041,1537662041,,KBWI,KRDU,Baltimore/Washington Intl,"Baltimore, MD",Raleigh-Durham Intl,"Raleigh/Durham, NC"
SWA3373,SWA3373,B737,01:23:00,1537421172,1537650300,450,,410,JACCC2 KELLN Q58 PEETT THHMP RAVNN6,1537649820,1537654500,1537654500,,KATL,KBWI,Hartsfield-Jackson Intl,"Atlanta, GA",Baltimore/Washington Intl,"Baltimore, MD"
SWA6618,SWA6618,B737,03:02:00,1538025966,1538263800,450,,400,TERPZ6 OTTTO Q80 FAREV BWG J6 LIT DIRRK HIBIL3,1538264340,1538274540,1538274540,,KBWI,KDAL,Baltimore/Washington Intl,"Baltimore, MD",Dallas Love Field,"Dallas, TX"
SWA6618,SWA6618,B737,02:43:00,1537660780,1537659000,455,,380,TERPZ6 OTTTO Q80 FAREV BWG J6 LIT DIRRK CRIKT1,1537659982,1537670088,1537670088,,KBWI,KDAL,Baltimore/Washington Intl,"Baltimore, MD",Dallas Love Field,"Dallas, TX"
NKS443,NKS443,A319,02:17:00,1538371573,1538610300,354,,0,,0,1538618520,0,,KBWI,KFLL,Baltimore/Washington Intl,"Baltimore, MD",Fort Lauderdale Intl,"Fort Lauderdale, FL"
NKS443,NKS443,A320,02:14:00,1538438521,1538437500,450,,360,TAPPA142014 ILM AR21 CRANS FISEL7,1538437449,1538444304,1538444304,,KBWI,KFLL,Baltimore/Washington Intl,"Baltimore, MD",Fort Lauderdale Intl,"Fort Lauderdale, FL"
NKS443,NKS443,A320,02:15:00,1538352569,1538351100,450,,360,ORF331029 BAHAA AR21 CRANS FISEL7,1538351368,1538358336,1538358336,,KBWI,KFLL,Baltimore/Washington Intl,"Baltimore, MD",Fort Lauderdale Intl,"Fort Lauderdale, FL"
NKS443,NKS443,A320,02:10:00,1538265339,1538264700,460,,340,DCA124021 KEMPR ILM AR21 CRANS FISEL7,1538264316,1538271540,1538271540,,KBWI,KFLL,Baltimore/Washington Intl,"Baltimore, MD",Fort Lauderdale Intl,"Fort Lauderdale, FL"
NKS443,NKS443,A320,02:00:00,1538179319,1538178300,470,,340,CONLE3 COLIN J61 HUBBS KEMPR ILM AR21 CRANS FISEL7,1538178346,1538185619,1538185619,,KBWI,KFLL,Baltimore/Washington Intl,"Baltimore, MD",Fort Lauderdale Intl,"Fort Lauderdale, FL"
NKS443,NKS443,A320,02:26:00,1537853153,1538091900,450,,380,CONLE3 COLIN J61 HUBBS KEMPR ILM AR21 CRANS FISEL7,1538092278,1538099770,1538099770,,KBWI,KFLL,Baltimore/Washington Intl,"Baltimore, MD",Fort Lauderdale Intl,"Fort Lauderdale, FL"
NKS443,NKS443,A320,02:14:00,1537834108,1537832700,450,,360,RIC071038 BAHAA AR21 CRANS FISEL7,1537833053,1537840266,1537840266,,KBWI,KFLL,Baltimore/Washington Intl,"Baltimore, MD",Fort Lauderdale Intl,"Fort Lauderdale, FL"
NKS443,NKS443,A320,02:14:00,1537751665,1537746300,470,,340,PXT208034 ILM AR21 CRANS FISEL7,1537750677,1537757831,1537757831,,KBWI,KFLL,Baltimore/Washington Intl,"Baltimore, MD",Fort Lauderdale Intl,"Fort Lauderdale, FL"
NKS443,NKS443,A320,02:18:00,1537666400,1537659900,460,,360,TAPPA127011 BAHAA AR21 CRANS FISEL7,1537665322,1537672592,1537672592,,KBWI,KFLL,Baltimore/Washington Intl,"Baltimore, MD",Fort Lauderdale Intl,"Fort Lauderdale, FL"
NKS443,NKS443,A320,02:17:00,1537581183,1537573500,460,,340,DCA120024 HCM ILM AR21 CRANS FISEL7,1537580020,1537587260,1537587260,,KBWI,KFLL,Baltimore/Washington Intl,"Baltimore, MD",Fort Lauderdale Intl,"Fort Lauderdale, FL"
NKS443,NKS443,A320,02:11:00,1537488161,1537487100,460,,340,TAPPA038026 HUBBS KEMPR ILM AR21 CRANS FISEL7,1537486997,1537494209,1537494209,,KBWI,KFLL,Baltimore/Washington Intl,"Baltimore, MD",Fort Lauderdale Intl,"Fort Lauderdale, FL"
NKS443,NKS443,A320,02:14:00,1537229652,1537227900,460,,360,ORF332043 BAHAA AR21 CRANS FISEL7,1537228598,1537235532,1537235532,,KBWI,KFLL,Baltimore/Washington Intl,"Baltimore, MD",Fort Lauderdale Intl,"Fort Lauderdale, FL"
SWA3811,SWA3811,B737,02:10:00,1538112364,1538350500,450,,380,CONLE3 COLIN J61 HUBBS KEMPR ILM AR15 HIBAC SHFTY3,1538351517,1538359080,1538359080,,KBWI,KRSW,Baltimore/Washington Intl,"Baltimore, MD",Southwest Florida Intl,"Fort Myers, FL"
SWA3811,SWA3811,B737,02:10:00,1538025966,1538264100,453,,380,TERPZ6 GSO J75 DUNKN CYNTA SHFTY3,1538264220,1538272080,1538272080,,KBWI,KRSW,Baltimore/Washington Intl,"Baltimore, MD",Southwest Florida Intl,"Fort Myers, FL"
SWA3811,SWA3811,B737,02:27:00,1537507568,1537745700,448,,400,TERPZ6 GSO J75 DUNKN CYNTA SHFTY3,1537747118,1537754517,1537754517,,KBWI,KRSW,Baltimore/Washington Intl,"Baltimore, MD",Southwest Florida Intl,"Fort Myers, FL"
SWA3811,SWA3811,B737,02:13:00,1537421172,1537659300,450,,400,TERPZ6 GSO J75 DUNKN CYNTA SHFTY3,1537659300,1537667160,1537667160,,KBWI,KRSW,Baltimore/Washington Intl,"Baltimore, MD",Southwest Florida Intl,"Fort Myers, FL"
SWA2703,SWA2703,B737,01:19:00,1538025966,1538264400,461,,340,TERPZ6 OTTTO Q68 HVQ SPAYD J6 UNCKL DARBY6,1538264160,1538268540,1538268540,,KBWI,KSDF,Baltimore/Washington Intl,"Baltimore, MD",Louisville Intl,"Louisville, KY"
SWA2703,SWA2703,B737,01:10:00,1537660306,1537659600,456,,380,CSN037032 YOCKY J6 UNCKL DARBY6,1537659565,1537664008,1537664008,,KBWI,KSDF,Baltimore/Washington Intl,"Baltimore, MD",Louisville Intl,"Louisville, KY"
RQT10,RQT10,C560,00:44:00,1538246209,1538251200,357,,200,TERPZ6 MCRAY J518 IHD NESTO,1538264100,1538266817,1538266817,,KBWI,KBTP,Baltimore/Washington Intl,"Baltimore, MD",Butler County,"Butler, PA"
RQT10,RQT10,C560,00:45:00,1538182680,1538221200,351,,190,KEMAN EMI5,1538221222,1538223976,1538223976,,KBTP,KBWI,Butler County,"Butler, PA",Baltimore/Washington Intl,"Baltimore, MD"
RQT10,RQT10,C560,01:02:00,1538071129,1538072100,384,,280,ZIMMZ Q42 MIKYG Q480 VINSE,1538076536,1538080005,1538080005,,KTEB,KBTP,Teterboro,"Teterboro, NJ",Butler County,"Butler, PA"
RQT10,RQT10,C560,00:38:00,1538041759,1538042400,381,,270,TYROO PSB MAGIO LVZ LVZ4,1538045160,1538048283,1538048283,,KBTP,KTEB,Butler County,"Butler, PA",Teterboro,"Teterboro, NJ"
RQT10,RQT10,C560,02:10:00,1537901833,1537900800,395,,390,BAYPO8 CAMJO AMG CKB,1537900944,1537908886,1537908886,,KTPA,KBTP,Tampa Intl,"Tampa, FL",Butler County,"Butler, PA"
RQT10,RQT10,C560,02:11:00,1537804629,1537796400,398,,380,IRQ070029 JAYJA DADES5,1537799188,1537807275,1537807275,,KBTP,KTPA,Butler County,"Butler, PA",Tampa Intl,"Tampa, FL"
SWA3627,SWA3627,B737,01:49:00,1538112364,1538350500,453,,380,TERPZ6 OTTTO Q80 FAREV BWG BLUZZ2,1538350440,1538357100,1538357100,,KBWI,KMEM,Baltimore/Washington Intl,"Baltimore, MD",Memphis Intl,"Memphis, TN"
SWA3627,SWA3627,B737,01:55:00,1538025966,1538264100,458,,360,TERPZ6 OTTTO Q80 FAREV BWG BLUZZ2,1538263989,1538270725,1538270725,,KBWI,KMEM,Baltimore/Washington Intl,"Baltimore, MD",Memphis Intl,"Memphis, TN"
SWA3627,SWA3627,B737,02:08:00,1537507568,1537745700,455,,380,TERPZ6 OTTTO Q80 FAREV BWG BLUZZ2,1537746000,1537753043,1537753043,,KBWI,KMEM,Baltimore/Washington Intl,"Baltimore, MD",Memphis Intl,"Memphis, TN"
SWA3627,SWA3627,B737,01:53:00,1537421172,1537659300,455,,380,TERPZ6 OTTTO Q80 FAREV BWG BLUZZ2,1537659240,1537666265,1537666265,,KBWI,KMEM,Baltimore/Washington Intl,"Baltimore, MD",Memphis Intl,"Memphis, TN"
NKS559,NKS559,A319,01:36:00,1538371573,1538613480,314,,0,,0,1538619240,0,,KBWI,KATL,Baltimore/Washington Intl,"Baltimore, MD",Hartsfield-Jackson Intl,"Atlanta, GA"
NKS559,NKS559,A319,01:27:00,1538285163,1538527080,450,,360,TERPZ6 FLASK OZZZI1,0,1538531908,0,,KBWI,KATL,Baltimore/Washington Intl,"Baltimore, MD",Hartsfield-Jackson Intl,"Atlanta, GA"
NKS559,NKS559,A319,01:30:00,1538438173,1538436900,450,,380,GVE038042 SCHUL OZZZI1,1538437324,1538442358,1538442358,,KBWI,KATL,Baltimore/Washington Intl,"Baltimore, MD",Hartsfield-Jackson Intl,"Atlanta, GA"
NKS559,NKS559,A319,01:31:00,1538351610,1538350500,450,,360,TERPZ6 FLASK OZZZI1,1538350743,1538355696,1538355696,,KBWI,KATL,Baltimore/Washington Intl,"Baltimore, MD",Hartsfield-Jackson Intl,"Atlanta, GA"
NKS559,NKS559,A319,01:30:00,1538264743,1538264100,450,,360,GVE038042 SCHUL OZZZI1,1538263911,1538269241,1538269241,,KBWI,KATL,Baltimore/Washington Intl,"Baltimore, MD",Hartsfield-Jackson Intl,"Atlanta, GA"
NKS559,NKS559,A319,01:38:00,1538179283,1538177700,450,,360,TERPZ6 FLASK OZZZI1,1538177703,1538182978,1538182978,,KBWI,KATL,Baltimore/Washington Intl,"Baltimore, MD",Hartsfield-Jackson Intl,"Atlanta, GA"
NKS559,NKS559,A319,01:47:00,1537853153,1538091300,450,,360,TERPZ6 FLASK OZZZI1,1538091486,1538097164,1538097164,,KBWI,KATL,Baltimore/Washington Intl,"Baltimore, MD",Hartsfield-Jackson Intl,"Atlanta, GA"
NKS559,NKS559,A319,01:44:00,1537766754,1538008680,450,,380,TERPZ6 FLASK OZZZI1,1538016120,1538021303,1538021303,,KBWI,KATL,Baltimore/Washington Intl,"Baltimore, MD",Hartsfield-Jackson Intl,"Atlanta, GA"
NKS559,NKS559,A319,01:35:00,1537924954,1537922280,450,,380,TERPZ6 FLASK OZZZI1,1537924062,1537929053,1537929053,,KBWI,KATL,Baltimore/Washington Intl,"Baltimore, MD",Hartsfield-Jackson Intl,"Atlanta, GA"
NKS559,NKS559,A319,01:37:00,1537833866,1537832100,450,,360,TERPZ6 FLASK OZZZI1,1537832814,1537837934,1537837934,,KBWI,KATL,Baltimore/Washington Intl,"Baltimore, MD",Hartsfield-Jackson Intl,"Atlanta, GA"
NKS559,NKS559,A319,01:34:00,1537747921,1537745700,450,,360,TERPZ6 FLASK OZZZI1,1537746721,1537751770,1537751770,,KBWI,KATL,Baltimore/Washington Intl,"Baltimore, MD",Hartsfield-Jackson Intl,"Atlanta, GA"
NKS559,NKS559,A319,01:30:00,1537660377,1537659300,460,,360,GVE039044 MAULS SCHUL OZZZI1,1537659481,1537664529,1537664529,,KBWI,KATL,Baltimore/Washington Intl,"Baltimore, MD",Hartsfield-Jackson Intl,"Atlanta, GA"
NKS559,NKS559,A319,01:36:00,1537573747,1537572900,450,,380,TERPZ6 FLASK OZZZI1,1537572761,1537577767,1537577767,,KBWI,KATL,Baltimore/Washington Intl,"Baltimore, MD",Hartsfield-Jackson Intl,"Atlanta, GA"
NKS559,NKS559,A319,01:32:00,1537487441,1537486500,450,,340,TERPZ6 FLASK OZZZI1,1537486519,1537491883,1537491883,,KBWI,KATL,Baltimore/Washington Intl,"Baltimore, MD",Hartsfield-Jackson Intl,"Atlanta, GA"
NKS559,NKS559,A319,01:26:00,1537404293,1537403880,460,,360,GVE032031 SCHUL OZZZI1,1537403452,1537408093,1537408093,,KBWI,KATL,Baltimore/Washington Intl,"Baltimore, MD",Hartsfield-Jackson Intl,"Atlanta, GA"
SWA4799,SWA4799,B738,02:25:00,1538351476,1538350200,459,,360,TERPZ6 MCRAY J518 IHD J518 DJB J34 CRL PMM KAMMA KKILR3,1538350625,1538359000,1538359000,,KBWI,KMSP,Baltimore/Washington Intl,"Baltimore, MD",Minneapolis/St Paul Intl,"Minneapolis, MN"
SWA4799,SWA4799,B737,02:15:00,1538025966,1538263800,450,,400,TERPZ6 MCRAY J518 IHD J518 DJB J34 CRL PMM KAMMA KKILR3,1538263800,1538272233,1538272233,,KBWI,KMSP,Baltimore/Washington Intl,"Baltimore, MD",Minneapolis/St Paul Intl,"Minneapolis, MN"
